Number,Inserted,Space,Time
1,2.09715e+06,180011474944,0.005374
2,4.1943e+06,180009369600,0.007366
3,6.29146e+06,180007268352,0.006335
4,8.38861e+06,180005167104,0.006245
5,1.04858e+07,180003065856,0.006335
6,1.25829e+07,180000964608,0.00603
7,1.46801e+07,179998863360,0.006499
8,1.67772e+07,179996762112,0.006748
9,1.88744e+07,179994660864,0.006738
10,2.09715e+07,179992559616,0.006577
11,2.09715e+07,179994660864,0.088276
10,2.09715e+07,179996762112,0.076059
9,2.09715e+07,179998863360,0.068804
8,2.09715e+07,180000964608,0.060011
7,2.09715e+07,180003065856,0.052331
6,2.09715e+07,180005167104,0.042151
5,2.09715e+07,180007268352,0.032534
4,2.09715e+07,180009369600,0.023792
3,2.09715e+07,180011474944,0.01514
2,2.09715e+07,180013572096,0.005798
1,2.30687e+07,180011474944,0.004942
2,2.51658e+07,180009369600,0.005846
3,2.7263e+07,180007268352,0.006369
4,2.93601e+07,180005167104,0.006192
5,3.14573e+07,180003065856,0.00637
6,3.35544e+07,180000964608,0.006288
7,3.56516e+07,179998863360,0.00637
8,3.77487e+07,179996762112,0.006652
9,3.98459e+07,179994660864,0.006557
10,4.1943e+07,179992559616,0.006261
11,4.1943e+07,179994660864,0.089632
10,4.1943e+07,179996762112,0.076717
9,4.1943e+07,179998863360,0.069481
8,4.1943e+07,180000964608,0.058505
7,4.1943e+07,180003065856,0.049668
6,4.1943e+07,180005167104,0.041341
5,4.1943e+07,180007268352,0.032104
4,4.1943e+07,180009369600,0.023415
3,4.1943e+07,180011474944,0.014546
2,4.1943e+07,180013572096,0.005599
Total restructure time: 0.000521
